32675668,31399097
169412,13716769
8402383,33297104
21272449,33296978
21272449,33091087
21272449,33091084
8402383,33091058
8405071,33296985
21272449,33091027
20795934,33296993
20795934,33091093
22724713,33091189
8405071,33091063
9438570,33296962
32675670,31843395
22724713,33091137
9438570,32525064
2741945,31138145
6478933,31138063
22724713,33091134
12665484,31138082
9438570,33091147
15618412,33296970
6478933,31411258
15618412,33297111
6478933,31138191
8402383,31399839
15618412,33091038
9438570,31138111
15618412,33091013
15618412,33296976
8439521,32525054
6478936,31138159
8439521,33091204
8439521,33297118
22724713,33297001
169412,13705098
8402383,33091057
8405071,33091173
32675668,31843440
8439521,33297123
6485700,33091143
8405071,33297154
8439521,32525055
8439521,33297134
8439521,32525098
6485700,33091016
22724713,33091354
8402383,33297095
2741945,31399849
8405071,33091177
172184,13686323
172184,13686332
9438570,31138116
20795934,33297051
8439521,33297120
32675665,31843318
6485700,31138069
22724713,33091192
9438570,33296960
8405071,33296987
8405071,33091166
6485700,33091103
6485700,33091140
172184,13690766
6485700,33297110
8405071,33297156
8405071,33296984
8405071,33297086
21272449,33091021
21272449,33296982
15618412,33296954
21272449,33296983
15618412,33297132
15618412,33091035
22724713,33297007
172184,13690769
15618412,33091037
8405071,33297144
172184,13686326
21272449,33091180
13905139,33091017
6485700,33297062
6485700,33091139
13905139,33297112
6485700,33091141
13905139,33091208
12665484,31399804
13905139,32525128
13905139,31138101
9438570,33297028
13905139,33297115
13905139,33297145
5567888,31397237
13905139,33297113
9438570,32525062
13905139,31138216
9438570,33296956
13905139,32525126
20795934,31138121
20795934,33091094
20795934,33091098
20795934,33091095
20795934,33091296
20795934,33296995
32675669,31399125
32675660,31847142
32675670,31399081
32675660,31399213
32675673,31843272
12665484,31402093
32675669,31847255
32675670,31843501
32675668,31411674
32675670,31399077
32675668,31540653
32675668,31411741
32675673,31843263
32675668,31411743
32675660,31843673
32675667,31411631
32675669,31410798
32675660,31410993
32675672,31843676
32675668,31399099
32675661,31911868
32675672,31399054
32675664,31843776
32675671,31843558
32675673,31911896
172184,13705089
32675668,31843827
32675664,31399258
172184,13686330
32675664,31843774
32675660,31399211
172184,13716853
32675664,31843712
32675673,31411557
172184,13686384
32675665,31399319
5567888,31399710
32675671,31399325
5567888,31411322
5567888,31411316
32675660,31409711
5567888,31411323
32675665,31843813
5567888,31411320
12665484,31411078
32675663,31843347
32675665,31843317
12665484,31411076
32675665,31411663
32675665,31911889
32675665,31911945
32675674,31843474
32675673,31843614
32675665,31409675
32675668,31843785
32675665,31399285
32675668,31843455
32675665,31843325
32675666,31411778
32675674,31411719
32675665,31411667
32675674,31399096
32675674,31399092
32675670,31843394
32675670,31411822
32675670,31843496
2741945,31138197
172184,13686325
32675664,31843763
6485700,33091109
32675662,31911991
32675662,31399086
32675662,31847119
2747428,31402094
2747428,31411325
2747428,31397235
32675664,31843766
32675673,31843285
32675673,31411625
32675671,31843557
32675666,31399262
169412,13705102
169412,13705100
6478935,31411033
32675668,31399100
6478935,31138196
6478935,31138163
32675661,31399122
2741945,31411032
2741945,31411262
169412,13716829
169412,13705095
6478935,31399867
169412,13716894
32675672,31399085
32675672,31843683
6478935,31399872
5567888,31397239
32675672,31847236
32675672,31847232
32675668,31843448
32675672,31411642
32675660,31847136
6478935,31138162
6478935,31399506
2747428,31411315
32675668,31843833
32675668,31843451
32675668,31843361
32675661,31911921
32675671,31843308
6478935,31138098
32675673,31843292
